ID,Tipo,SKU,Nombre,Publicado,Precio de oferta,Precio normal,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Fecha en que empieza el precio rebajado,Fecha en que termina el precio de oferta,Estado del impuesto,Clase de impuesto,¿En stock?,Stock,Cantidad de bajo stock,¿Permitir reservas de productos agotados?,Vendido Individualmente?,Peso (kg),Longitud (cm),Ancho (cm),Altura (cm),¿Permitir reseñas de clientes?,Notas de la compra,Categorías,Etiquetas,Clase de envío,Imágenes,Límite de descargas,Días de caducidad de la descarga,Superior,Productos agrupados,Ventas dirigidas,Ventas cruzadas,URL externa,Texto del botón,Posición,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1,Nombre del atributo 2,Valor(es) del atributo 2,Atributo visible 2,Atributo global 2
34,variable,rem_diego,Diego 9,1,,,0,visible,,"¡Conoce nuestra ""Diego 9""! Fabricada con algodón de primera, suave al tacto,  reforzada para durar. Con un ajuste cómodo y colores versátiles, es la opción perfecta para el día a día. ¡Experimenta la calidad que se siente bien desde el primer momento!. 💀",,,taxable,,1,100,2,0,0,100,30,30,10,1,,Remeras,,,http://wpelegancebones.test/wp-content/uploads/2023/12/RemeraDiego.jpg,,,,,,,,,0,Size,"L, M, S, XL",1,1,,,,
42,variable,rem_donttalktostrangers,Don't Talk To Strangers,1,,,0,visible,,"¡Conoce nuestra ""Don't Talk To Strangers""! Fabricada con algodón de primera, suave al tacto,  reforzada para durar. Con un ajuste cómodo y colores versátiles, es la opción perfecta para el día a día. ¡Experimenta la calidad que se siente bien desde el primer momento!. 💀",,,taxable,,1,100,,0,0,100,30,30,10,1,,Remeras,,,http://wpelegancebones.test/wp-content/uploads/2023/12/Dont-Talk-To-Strangers.png,,,,,,,,,0,Size,"L, M, S, XL",1,1,,,,
49,variable,rem_lisa,Remera Lisa,1,,,0,visible,,"¡Conoce nuestra ""Remera Lisa""! Fabricada con algodón de primera, suave al tacto,  reforzada para durar. Con un ajuste cómodo y colores versátiles, es la opción perfecta para el día a día. ¡Experimenta la calidad que se siente bien desde el primer momento!. 💀",,,taxable,,1,100,2,0,0,100,30,30,10,1,,Remeras,,,"http://wpelegancebones.test/wp-content/uploads/2023/12/negra.jpg, http://wpelegancebones.test/wp-content/uploads/2023/12/blanca.jpg, http://wpelegancebones.test/wp-content/uploads/2023/12/celeste.jpg, http://wpelegancebones.test/wp-content/uploads/2023/12/roja.jpg",,,,,,,,,0,Size,"L, M, S, XL",1,1,Color,"Blanca, Celeste, Negra, Roja",1,0
91,variable,rem_eminem,Eminem 1,1,,,0,visible,,"¡Conoce nuestra ""Eminem 1""! Fabricada con algodón de primera, suave al tacto,  reforzada para durar. Con un ajuste cómodo y colores versátiles, es la opción perfecta para el día a día. ¡Experimenta la calidad que se siente bien desde el primer momento!. 💀",,,taxable,,1,100,2,0,0,100,30,30,10,1,,Remeras,,,http://wpelegancebones.test/wp-content/uploads/2023/12/eminem.jpg,,,,,,,,,0,Size,"L, M, S, XL",1,1,,,,
140,variable,rem_breakinbad,Breaking Bad,1,,,0,visible,,"¡Conoce nuestra ""Breaking Bad""! Fabricada con algodón de primera, suave al tacto,  reforzada para durar. Con un ajuste cómodo y colores versátiles, es la opción perfecta para el día a día. ¡Experimenta la calidad que se siente bien desde el primer momento!. 💀",,,taxable,,1,100,2,0,0,100,30,30,10,1,,Remeras,,,"http://wpelegancebones.test/wp-content/uploads/2023/12/breaking-bad-141-7b4dd15c39f8b8964815132830765001-1024-1024.jpg, http://wpelegancebones.test/wp-content/uploads/2023/12/breaking-bad-14-b-c2da2eaedb439895ee15132830707337-1024-1024.jpg, http://wpelegancebones.test/wp-content/uploads/2023/12/breaking-bad-14-n-fc3ad1c05511f63ad215132830824479-1024-1024.jpg",,,,,,,,,0,Size,"L, M, S, XL",1,1,Color,"Blanco, Negro, Gris",1,0
213,variable,rem_breakinbad-1,Tortugas Ninja 1,1,,,0,visible,,"¡Conoce nuestra ""Tortugas Ninja 1""! Fabricada con algodón de primera, suave al tacto,  reforzada para durar. Con un ajuste cómodo y colores versátiles, es la opción perfecta para el día a día. ¡Experimenta la calidad que se siente bien desde el primer momento!. 💀",,,taxable,,1,100,2,0,0,100,30,30,10,1,,Remeras,,,http://wpelegancebones.test/wp-content/uploads/2023/12/tortugas-ninja-1.png,,,,,,,,,0,Size,"L, M, S, XL",1,1,,,,
243,variable,rem_breakinbad-1-1,Nirvana 1,1,,,0,visible,,"¡Conoce nuestra ""Nirvana 1""! Fabricada con algodón de primera, suave al tacto,  reforzada para durar. Con un ajuste cómodo y colores versátiles, es la opción perfecta para el día a día. ¡Experimenta la calidad que se siente bien desde el primer momento!. 💀",,,taxable,,1,100,2,0,0,100,30,30,10,1,,Remeras,,,http://wpelegancebones.test/wp-content/uploads/2023/12/nirvana-11-5febbdf0ddddb89c9d16756296265401-1024-1024-1.png,,,,,,,,,0,Size,"L, M, S, XL",1,1,,,,
249,variable,rem_breakinbad-1-1-1,Panda 1,1,,,0,visible,,"¡Conoce nuestra ""Panda 1""! Fabricada con algodón de primera, suave al tacto,  reforzada para durar. Con un ajuste cómodo y colores versátiles, es la opción perfecta para el día a día. ¡Experimenta la calidad que se siente bien desde el primer momento!. 💀",,,taxable,,1,100,2,0,0,100,30,30,10,1,,Remeras,,,http://wpelegancebones.test/wp-content/uploads/2023/12/oso-11-bc70a6900fece486b315015132008356-1024-1024-1.png,,,,,,,,,0,Size,"L, M, S, XL",1,1,,,,
255,variable,rem_breakinbad-1-1-1-1,No Internet,1,,,0,visible,,"¡Conoce nuestra ""No Internet""! Fabricada con algodón de primera, suave al tacto,  reforzada para durar. Con un ajuste cómodo y colores versátiles, es la opción perfecta para el día a día. ¡Experimenta la calidad que se siente bien desde el primer momento!. 💀",,,taxable,,1,100,2,0,0,100,30,30,10,1,,Remeras,,,http://wpelegancebones.test/wp-content/uploads/2023/12/samcro-5-frente1-fa80f1de3f70c56ab216288188899099-1024-1024-1.png,,,,,,,,,0,Size,"L, M, S, XL",1,1,,,,
262,variable,rem_breakinbad-1-1-1-1-1,Iron Mainden,1,,,0,visible,,"¡Conoce nuestra ""Iron Mainden""! Fabricada con algodón de primera, suave al tacto,  reforzada para durar. Con un ajuste cómodo y colores versátiles, es la opción perfecta para el día a día. ¡Experimenta la calidad que se siente bien desde el primer momento!. 💀",,,taxable,,1,100,2,0,0,100,30,30,10,1,,Remeras,,,http://wpelegancebones.test/wp-content/uploads/2023/12/iron-maiden-71-324ec836e2589db8ef16764938471550-1024-1024-1.png,,,,,,,,,0,Size,"L, M, S, XL",1,1,,,,
268,variable,red-hot,Red Hot Chili Peppers,1,,,0,visible,,"¡Conoce nuestra ""Red Hot Chili Peppers""! Fabricada con algodón de primera, suave al tacto,  reforzada para durar. Con un ajuste cómodo y colores versátiles, es la opción perfecta para el día a día. ¡Experimenta la calidad que se siente bien desde el primer momento!. 💀",,,taxable,,1,100,2,0,0,100,30,30,10,1,,Remeras,,,http://wpelegancebones.test/wp-content/uploads/2023/12/red-hot-2-b1-b0c4a31cf02e942b3315132835810736-1024-1024.jpg,,,,,,,,,0,Size,"L, M, S, XL",1,1,,,,
274,variable,rick-morty-1,Rick y Morty 1,1,,,0,visible,,"¡Conoce nuestra ""Rick y Morty 1""! Fabricada con algodón de primera, suave al tacto,  reforzada para durar. Con un ajuste cómodo y colores versátiles, es la opción perfecta para el día a día. ¡Experimenta la calidad que se siente bien desde el primer momento!. 💀",,,taxable,,1,100,2,0,0,100,30,30,10,1,,Remeras,,,http://wpelegancebones.test/wp-content/uploads/2023/12/rick-and-morty-191-2a22c4dcaa6902a3d215251249208503-1024-1024.jpg,,,,,,,,,0,Size,"L, M, S, XL",1,1,,,,
36,variation,rem_diego9_m,Diego 9 - M,1,9812,19624,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,rem_diego,,,,,,3,Size,M,,1,,,,
37,variation,rem_diego9_s,Diego 9 - S,1,9812,19624,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,rem_diego,,,,,,4,Size,S,,1,,,,
38,variation,rem_diego9_xl,Diego 9 - XL,1,9812,19624,0,visible,,,,,taxable,parent,0,0,,0,0,,,,,0,,,,,,,,rem_diego,,,,,,1,Size,XL,,1,,,,
35,variation,rem_diego9_l,Diego 9 - L,1,9812,19624,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,rem_diego,,,,,,2,Size,L,,1,,,,
44,variation,rem_donttalktostrangers_l,Don't Talk To Strangers - L,1,9812,19624,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,rem_donttalktostrangers,,,,,,2,Size,L,,1,,,,
45,variation,rem_donttalktostrangers_m,Don't Talk To Strangers - M,1,9812,19624,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,rem_donttalktostrangers,,,,,,3,Size,M,,1,,,,
47,variation,rem_donttalktostrangers_xl,Don't Talk To Strangers - XL,1,9812,19624,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,rem_donttalktostrangers,,,,,,1,Size,XL,,1,,,,
83,variation,rem_lisa_celeste_s,"Remera Lisa - S, Celeste",1,9812,19624,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,http://wpelegancebones.test/wp-content/uploads/2023/12/celeste.jpg,,,rem_lisa,,,,,,10,Size,S,,1,Color,Celeste,,0
84,variation,rem_lisa_negra_s,"Remera Lisa - S, Negra",1,9812,19624,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,http://wpelegancebones.test/wp-content/uploads/2023/12/negra.jpg,,,rem_lisa,,,,,,11,Size,S,,1,Color,Negra,,0
85,variation,rem_lisa_roja_s,"Remera Lisa - S, Roja",1,9812,19624,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,http://wpelegancebones.test/wp-content/uploads/2023/12/roja.jpg,,,rem_lisa,,,,,,12,Size,S,,1,Color,Roja,,0
86,variation,rem_lisa_blanca_xl,"Remera Lisa - XL, Blanca",1,9812,19624,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,http://wpelegancebones.test/wp-content/uploads/2023/12/blanca.jpg,,,rem_lisa,,,,,,13,Size,XL,,1,Color,Blanca,,0
87,variation,rem_lisa_celeste_xl,"Remera Lisa - XL, Celeste",1,9812,19624,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,http://wpelegancebones.test/wp-content/uploads/2023/12/celeste.jpg,,,rem_lisa,,,,,,14,Size,XL,,1,Color,Celeste,,0
88,variation,,"Remera Lisa - XL, Negra",1,9812,19624,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,http://wpelegancebones.test/wp-content/uploads/2023/12/negra.jpg,,,rem_lisa,,,,,,15,Size,XL,,1,Color,Negra,,0
89,variation,rem_lisa_roja_xl,"Remera Lisa - XL, Roja",1,9812,19624,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,http://wpelegancebones.test/wp-content/uploads/2023/12/roja.jpg,,,rem_lisa,,,,,,16,Size,XL,,1,Color,Roja,,0
78,variation,rem_lisa_blanca_m,"Remera Lisa - M, Blanca",1,9812,19624,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,http://wpelegancebones.test/wp-content/uploads/2023/12/blanca.jpg,,,rem_lisa,,,,,,5,Size,M,,1,Color,Blanca,,0
79,variation,rem_lisa_celeste_m,"Remera Lisa - M, Celeste",1,9812,19624,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,http://wpelegancebones.test/wp-content/uploads/2023/12/celeste.jpg,,,rem_lisa,,,,,,6,Size,M,,1,Color,Celeste,,0
80,variation,rem_lisa_negra_m,"Remera Lisa - M, Negra",1,9812,19624,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,http://wpelegancebones.test/wp-content/uploads/2023/12/negra.jpg,,,rem_lisa,,,,,,7,Size,M,,1,Color,Negra,,0
81,variation,rem_lisa_roja_m,"Remera Lisa - M, Roja",1,9812,19624,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,http://wpelegancebones.test/wp-content/uploads/2023/12/roja.jpg,,,rem_lisa,,,,,,8,Size,M,,1,Color,Roja,,0
82,variation,rem_lisa_blanca_s,"Remera Lisa - S, Blanca",1,9812,19624,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,http://wpelegancebones.test/wp-content/uploads/2023/12/blanca.jpg,,,rem_lisa,,,,,,9,Size,S,,1,Color,Blanca,,0
75,variation,rem_lisa_celeste_l,"Remera Lisa - L, Celeste",1,9812,19624,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,http://wpelegancebones.test/wp-content/uploads/2023/12/celeste.jpg,,,rem_lisa,,,,,,2,Size,L,,1,Color,Celeste,,0
76,variation,rem_lisa_negra_l,"Remera Lisa - L, Negra",1,9812,19624,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,http://wpelegancebones.test/wp-content/uploads/2023/12/negra.jpg,,,rem_lisa,,,,,,3,Size,L,,1,Color,Negra,,0
77,variation,rem_lisa_roja_l,"Remera Lisa - L, Roja",1,9812,19624,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,http://wpelegancebones.test/wp-content/uploads/2023/12/roja.jpg,,,rem_lisa,,,,,,4,Size,L,,1,Color,Roja,,0
74,variation,rem_lisa_blanca_l,"Remera Lisa - L, Blanca",1,9812,19624,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,http://wpelegancebones.test/wp-content/uploads/2023/12/blanca.jpg,,,rem_lisa,,,,,,1,Size,L,,1,Color,Blanca,,0
93,variation,rem_emienm_l,Eminem 1 - L,1,9812,19624,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,rem_eminem,,,,,,2,Size,L,,1,,,,
94,variation,rem_eminem_m,Eminem 1 - M,1,9812,19624,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,rem_eminem,,,,,,3,Size,M,,1,,,,
95,variation,rem_eminem_s,Eminem 1 - S,1,9812,19624,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,rem_eminem,,,,,,4,Size,S,,1,,,,
92,variation,rem_eminem_xl,Eminem 1 - XL,1,9812,19624,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,rem_eminem,,,,,,1,Size,XL,,1,,,,
165,variation,rem_breakinbad_m_gris,"Breaking Bad - M, Gris",1,8052,16104,0,visible,,,,,taxable,parent,1,100,,0,0,,,,,0,,,,,http://wpelegancebones.test/wp-content/uploads/2023/12/breaking-bad-141-7b4dd15c39f8b8964815132830765001-1024-1024.jpg,,,rem_breakinbad,,,,,,6,Size,M,,1,Color,Gris,,0
166,variation,rem_breakinbad_s_blanco,"Breaking Bad - S, Blanco",1,8052,16104,0,visible,,,,,taxable,parent,1,100,,0,0,,,,,0,,,,,http://wpelegancebones.test/wp-content/uploads/2023/12/breaking-bad-14-b-c2da2eaedb439895ee15132830707337-1024-1024.jpg,,,rem_breakinbad,,,,,,7,Size,S,,1,Color,Blanco,,0
167,variation,rem_breakinbad_s_negro,"Breaking Bad - S, Negro",1,8052,16104,0,visible,,,,,taxable,parent,1,100,,0,0,,,,,0,,,,,http://wpelegancebones.test/wp-content/uploads/2023/12/breaking-bad-14-n-fc3ad1c05511f63ad215132830824479-1024-1024.jpg,,,rem_breakinbad,,,,,,8,Size,S,,1,Color,Negro,,0
168,variation,rem_breakinbad_s_gris,"Breaking Bad - S, Gris",1,8052,16104,0,visible,,,,,taxable,parent,1,100,,0,0,,,,,0,,,,,http://wpelegancebones.test/wp-content/uploads/2023/12/breaking-bad-141-7b4dd15c39f8b8964815132830765001-1024-1024.jpg,,,rem_breakinbad,,,,,,9,Size,S,,1,Color,Gris,,0
169,variation,rem_breakinbad_xl_blanco,"Breaking Bad - XL, Blanco",1,8052,16104,0,visible,,,,,taxable,parent,1,100,,0,0,,,,,0,,,,,http://wpelegancebones.test/wp-content/uploads/2023/12/breaking-bad-14-b-c2da2eaedb439895ee15132830707337-1024-1024.jpg,,,rem_breakinbad,,,,,,10,Size,XL,,1,Color,Blanco,,0
170,variation,rem_breakinbad_xl_negro,"Breaking Bad - XL, Negro",1,8052,16104,0,visible,,,,,taxable,parent,1,100,,0,0,,,,,0,,,,,http://wpelegancebones.test/wp-content/uploads/2023/12/breaking-bad-14-n-fc3ad1c05511f63ad215132830824479-1024-1024.jpg,,,rem_breakinbad,,,,,,11,Size,XL,,1,Color,Negro,,0
